Name,Labelbox category,Labelbox Object Title,Labelbox Title or Answer Text,Supervisely Values,Supervisely Category,Checkbox for follow-up,Assigned to
"""Curved horizontally and vertically""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Curved (Horizontal and vertical)"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Curved horizontally and vertically""","""Curved (Horizontal and vertical)""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""City or castle wall?""-""objects"" -> ""classifications"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""* Castle wall or city wall?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""City or castle wall?""","""* Castle wall or city wall?""","""objects"" -> tags"" -> ""name""",,Abbey List
"""City""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""City wall"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""City""","""City wall""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Castle""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Castle wall"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Castle""","""Castle wall""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Wall Features""-""objects"" -> ""classifications"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>","""objects"" -> ""classifications"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Wall Features""",,,,Abbey List
"""Visible wall walk (Only if in the traced area)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Top"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Visible wall walk (Only if in the traced area)""","""Top""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Arrow Loops""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Arrow slits (Individual)"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Arrow Loops""","""Arrow slits (Individual)""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Gate""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Door (Round-headed)"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Gate""","""Door (Round-headed)""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Window""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Window (Rectangular)"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Window""","""Window (Rectangular)""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Porta Falsa""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Porta Falsa"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Porta Falsa""","""Porta Falsa""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Heraldry""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Heraldry"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Heraldry""","""Heraldry""","""objects"" -> tags"" -> ""name""",,Abbey List
