Name,Labelbox category,Supervisely Category,Labelbox Object Title,Labelbox Title or Answer Text,Supervisely ClassTitle or Tag,Supervisely Values,Checkbox for follow-up,Assigned to,Table 6
"""Latitude and Longitude of known points-""objects"" -> ""title""-===>""""""Location (Latitude, Longitude)"""" """"objects"""" -> """"classTitle""""""","""objects"" -> ""title""","""objects"" -> ""classTitle""",,"""Latitude and Longitude of known points","""""""Location (Latitude, Longitude)"""" """"objects"""" -> """"classTitle""""""","""Location (Latitude, Longitude)""",,,
"""Secondary Site (Background castles and ruins)-""objects"" -> ""title""-===>""""""Secondary Site"""" """"objects"""" -> """"classTitle""""""","""objects"" -> ""title""","""objects"" -> ""classTitle""",,"""Secondary Site (Background castles and ruins)","""""""Secondary Site"""" """"objects"""" -> """"classTitle""""""","""Secondary Site""",,,
"""Country or group""-""objects"" -> ""classifications"" -> ""title""-""""""flags"""" """"objects"""" -> """"title""""""===>""""""* Flag Affiliation"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""flags"""" """"objects"""" -> """"title""""""","""Country or group""","""""""* Flag Affiliation"""" """"objects"""" -> tags"""" -> """"name""""""","""* Flag Affiliation""",,Abbey List,
"""Portugal""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""flags"""" """"objects"""" -> """"title""""""===>""""""Portugal"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""flags"""" """"objects"""" -> """"title""""""","""Portugal""","""""""Portugal"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Portugal""",,Abbey List,
"""Castile""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""flags"""" """"objects"""" -> """"title""""""===>""""""Castile"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""flags"""" """"objects"""" -> """"title""""""","""Castile""","""""""Castile"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Castile""",,Abbey List,
"""Military Order""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""flags"""" """"objects"""" -> """"title""""""===>""""""Military Order"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""flags"""" """"objects"""" -> """"title""""""","""Military Order""","""""""Military Order"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Military Order""",,Abbey List,
"""Shape""-""objects"" -> ""classifications"" -> ""title""-""""""flags"""" """"objects"""" -> """"title""""""===>""""""* Flag shape"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""flags"""" """"objects"""" -> """"title""""""","""Shape""","""""""* Flag shape"""" """"objects"""" -> tags"""" -> """"name""""""","""* Flag shape""",,Abbey List,
"""Rectangular""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""flags"""" """"objects"""" -> """"title""""""===>""""""Rectangular"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""flags"""" """"objects"""" -> """"title""""""","""Rectangular""","""""""Rectangular"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Rectangular""",,Abbey List,
"""Triangular""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""flags"""" """"objects"""" -> """"title""""""===>""""""Triangular"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""flags"""" """"objects"""" -> """"title""""""","""Triangular""","""""""Triangular"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Triangular""",,Abbey List,
"""Trace the front facade, side facade and roof: The ""front"" will be the side that comes as close to facing the viewer as possible. Some may appear to be at 45 degrees, but the angle of the bottom of the house should show which is most horizontal., and therefore closer to facing front""-""objects"" -> ""classifications"" -> ""title""-""""""house part"""" """"objects"""" -> """"title""""""===>""""""* Front Facade, Side Facade, Round, Eave, Top, or Back side?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""house part"""" """"objects"""" -> """"title""""""","""Trace the front facade, side facade and roof: The ""front"" will be the side that comes as close to facing the viewer as possible. Some may appear to be at 45 degrees, but the angle of the bottom of the house should show which is most horizontal., and therefore closer to facing front""","""""""* Front Facade, Side Facade, Round, Eave, Top, or Back side?"""" """"objects"""" -> tags"""" -> """"name""""""","""* Front Facade, Side Facade, Round, Eave, Top, or Back side?""",,Abbey List,
