Name,Labelbox category,Supervisely Category,Labelbox Object Title,Labelbox Title or Answer Text,Supervisely ClassTitle or Tag,Supervisely Values,Checkbox for follow-up,Assigned to,Table 6
"""Embrasure""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Embrasures"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Embrasure""","""""""Embrasures"""" """"objects"""" -> tags"""" -> """"name""""""","""Embrasures""",,Abbey List,
"""Outer-most (low) wall, Outer ward wall or Inner ward wall?""-""objects"" -> ""classifications"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""* Outer-most (low) wall, Outer ward wall or Inner was wall?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Outer-most (low) wall, Outer ward wall or Inner ward wall?""","""""""* Outer-most (low) wall, Outer ward wall or Inner was wall?"""" """"objects"""" -> tags"""" -> """"name""""""","""* Outer-most (low) wall, Outer ward wall or Inner was wall?""",,Abbey List,
"""Outermost (low) wall""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Outermost (low) wall"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Outermost (low) wall""","""""""Outermost (low) wall"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Outermost (low) wall""",,Abbey List,
"""Outer ward wall""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Outer ward wall"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Outer ward wall""","""""""Outer ward wall"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Outer ward wall""",,Abbey List,
"""Inner ward wall (There may not be an inner ward)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Inner ward wall (There may not be an inner ward)"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Inner ward wall (There may not be an inner ward)""","""""""Inner ward wall (There may not be an inner ward)"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Inner ward wall (There may not be an inner ward)""",,Abbey List,
"""Frontside, backside, or top?""-""objects"" -> ""classifications"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""* Front Facade, Side Facade, Round, Eave, Top, or Back side?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Frontside, backside, or top?""","""""""* Front Facade, Side Facade, Round, Eave, Top, or Back side?"""" """"objects"""" -> tags"""" -> """"name""""""","""* Front Facade, Side Facade, Round, Eave, Top, or Back side?""",,Abbey List,
"""Frontside""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Front facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Frontside""","""""""Front facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Front facade""",,Abbey List,
"""Backside""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Back side"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Backside""","""""""Back side"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Back side""",,Abbey List,
"""Top (wall walk)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Top"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Top (wall walk)""","""""""Top"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Top""",,Abbey List,
"""Tower Features""-""objects"" -> ""classifications"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>","""objects"" -> ""classifications"" -> ""title""",,"""""""fortification element"""" """"objects"""" -> """"title""""""","""Tower Features""",,,checked,Abbey List,
"""Splayed base (Plinth)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Splayed base (Plinth)"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Splayed base (Plinth)""","""""""Splayed base (Plinth)"""" """"objects"""" -> tags"""" -> """"name""""""","""Splayed base (Plinth)""",,Abbey List,
"""Door""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Door (Round-headed)"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Door""","""""""Door (Round-headed)"""" """"objects"""" -> tags"""" -> """"name""""""","""Door (Round-headed)""",,Abbey List,
"""Visible Floor (Only if in the polygonal trace)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Top"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Visible Floor (Only if in the polygonal trace)""","""""""Top"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Top""",,Abbey List,
"""Bell tower""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Belltower top"""" """"objects"""" -> tags"""" -> """"name"""""", """"""* Bell tower shape?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> tags"" -> ""name"", ""objects"" -> tags"" -> ""name""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Bell tower""","""""""Belltower top"""" """"objects"""" -> tags"""" -> """"name"""""",""""""* Bell tower shape?"""" """"objects"""" -> tags"""" -> """"name""""""","""Belltower top"", ""* Bell tower shape?""",,Abbey List,
"""Roof""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Roof front"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Roof""","""""""Roof front"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Roof front""",,Abbey List,
"""Albarrana (an arched bridge connecting to the walls that is parallel to the facade plane)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Albarrana (An Arched bridge connecting a tower to the walls)"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Albarrana (an arched bridge connecting to the walls that is parallel to the facade plane)""","""""""Albarrana (An Arched bridge connecting a tower to the walls)"""" """"objects"""" -> tags"""" -> """"name""""""","""Albarrana (An Arched bridge connecting a tower to the walls)""",,Abbey List,
"""Machicolations""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Machicolations"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Machicolations""","""""""Machicolations"""" """"objects"""" -> tags"""" -> """"name""""""","""Machicolations""",,Abbey List,
"""Corner turrets""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Corbelled corner turrets"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Corner turrets""","""""""Corbelled corner turrets"""" """"objects"""" -> tags"""" -> """"name""""""","""Corbelled corner turrets""",,Abbey List,
"""Horizontal Banding""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Horizontal banding"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Horizontal Banding""","""""""Horizontal banding"""" """"objects"""" -> tags"""" -> """"name""""""","""Horizontal banding""",,Abbey List,
"""Embrasures""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Embrasures"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Embrasures""","""""""Embrasures"""" """"objects"""" -> tags"""" -> """"name""""""","""Embrasures""",,Abbey List,
"""Facade Shape""-""objects"" -> ""classifications"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""* Front Facade, Side Facade, Round, Eave, Top, or Back side?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Facade Shape""","""""""* Front Facade, Side Facade, Round, Eave, Top, or Back side?"""" """"objects"""" -> tags"""" -> """"name""""""","""* Front Facade, Side Facade, Round, Eave, Top, or Back side?""",,Abbey List,
"""Round""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Round facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Round""","""""""Round facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Round facade""",,Abbey List,
"""Rectangular front facade""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Front facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Rectangular front facade""","""""""Front facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Front facade""",,Abbey List,
"""Rectangular back side (""hollow"" entrance visible)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Back side"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Rectangular back side (""hollow"" entrance visible)""","""""""Back side"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Back side""",,Abbey List,
"""Rectangular side facade""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Side facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Rectangular side facade""","""""""Side facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Side facade""",,Abbey List,
"""Round chimney""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Chimney round"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Round chimney""","""""""Chimney round"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Chimney round""",,Abbey List,
"""Rectangular chimney - front face""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Chimney front"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Rectangular chimney - front face""","""""""Chimney front"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Chimney front""",,Abbey List,
"""Rectangular chimney - side-face""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Side facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Rectangular chimney - side-face""","""""""Side facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Side facade""",,Abbey List,
"""Polygonal front facade""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Front facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Polygonal front facade""","""""""Front facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Front facade""",,Abbey List,
"""Polygonal side facade (several)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Side facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Polygonal side facade (several)""","""""""Side facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Side facade""",,Abbey List,
"""Round Top""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Top"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Round Top""","""""""Top"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Top""",,Abbey List,
"""Rectangular Top""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Top"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Rectangular Top""","""""""Top"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Top""",,Abbey List,
"""Roof-front""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Roof front"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Roof-front""","""""""Roof front"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Roof front""",,Abbey List,
"""Roof-side""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Roof side"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Roof-side""","""""""Roof side"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Roof side""",,Abbey List,
"""Front facade or side facade?""-""objects"" -> ""classifications"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""* Front Facade, Side Facade, Round, Eave, Top, or Back side?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Front facade or side facade?""","""""""* Front Facade, Side Facade, Round, Eave, Top, or Back side?"""" """"objects"""" -> tags"""" -> """"name""""""","""* Front Facade, Side Facade, Round, Eave, Top, or Back side?""",,Abbey List,
"""Front facade""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Front facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Front facade""","""""""Front facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Front facade""",,Abbey List,
"""Side facade""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Side facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Side facade""","""""""Side facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Side facade""",,Abbey List,
"""Underside""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Underside"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Underside""","""""""Underside"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Underside""",,Abbey List,
"""Shape""-""objects"" -> ""classifications"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>","""objects"" -> ""classifications"" -> ""title""",,"""""""fortification element"""" """"objects"""" -> """"title""""""","""Shape""",,,checked,Abbey List,
"""Rounded""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Round"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Rounded""","""""""Round"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Round""",,Abbey List,
"""Polygonal""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Polygonal"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Polygonal""","""""""Polygonal"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Polygonal""",,Abbey List,
"""Corbels (underside)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Underside"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Corbels (underside)""","""""""Underside"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Underside""",,Abbey List,
"""Crenellated, Flat, or Both""-""objects"" -> ""classifications"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""* Crenellated, flat or both?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Crenellated, Flat, or Both""","""""""* Crenellated, flat or both?"""" """"objects"""" -> tags"""" -> """"name""""""","""* Crenellated, flat or both?""",,Abbey List,
"""Crenellated""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Crenellated"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Crenellated""","""""""Crenellated"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Crenellated""",,Abbey List,
"""Flat""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Flat"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Flat""","""""""Flat"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Flat""",,Abbey List,
"""Both""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Both"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Both""","""""""Both"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Both""",,Abbey List,
"""Complete or partially occluded (covered up)?""-""objects"" -> ""classifications"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""* Partially occluded or Complete?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Complete or partially occluded (covered up)?""","""""""* Partially occluded or Complete?"""" """"objects"""" -> tags"""" -> """"name""""""","""* Partially occluded or Complete?""",,Abbey List,
"""Complete""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Complete"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Complete""","""""""Complete"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Complete""",,Abbey List,
"""Partially occluded""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Partially Occluded"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Partially occluded""","""""""Partially Occluded"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Partially Occluded""",,Abbey List,
"""Vessel type""-""objects"" -> ""classifications"" -> ""title""-""""""watercraft by method of propulsion"""" """"objects"""" -> """"title""""""===>""""""* Vessel type"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""objects"" -> tags"" -> ""name""","""""""watercraft by method of propulsion"""" """"objects"""" -> """"title""""""","""Vessel type""","""""""* Vessel type"""" """"objects"""" -> tags"""" -> """"name""""""","""* Vessel type""",,Abbey List,
"""Ship""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""watercraft by method of propulsion"""" """"objects"""" -> """"title""""""===>""""""Ship"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""watercraft by method of propulsion"""" """"objects"""" -> """"title""""""","""Ship""","""""""Ship"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Ship""",,Abbey List,
"""Rowboat""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""watercraft by method of propulsion"""" """"objects"""" -> """"title""""""===>""""""Rowboat"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""watercraft by method of propulsion"""" """"objects"""" -> """"title""""""","""Rowboat""","""""""Rowboat"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Rowboat""",,Abbey List,
"""Small Sailboat""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""watercraft by method of propulsion"""" """"objects"""" -> """"title""""""===>""""""Small Sailboat"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""watercraft by method of propulsion"""" """"objects"""" -> """"title""""""","""Small Sailboat""","""""""Small Sailboat"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Small Sailboat""",,Abbey List,
"""Canoe""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""watercraft by method of propulsion"""" """"objects"""" -> """"title""""""===>""""""Canoe"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""watercraft by method of propulsion"""" """"objects"""" -> """"title""""""","""Canoe""","""""""Canoe"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Canoe""",,Abbey List,
"""Tree, bush or Reeds?""-""objects"" -> ""classifications"" -> ""title""-""""""plant"""" """"objects"""" -> """"title""""""===>","""objects"" -> ""classifications"" -> ""title""",,"""""""plant"""" """"objects"""" -> """"title""""""","""Tree, bush or Reeds?""",,,checked,Abbey List,
"""Tree""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""plant"""" """"objects"""" -> """"title""""""===>""""""Trees"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""plant"""" """"objects"""" -> """"title""""""","""Tree""","""""""Trees"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Trees""",,Abbey List,
"""Reed (Only trace 2 complete examples, but create a carefully traced container)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""plant"""" """"objects"""" -> """"title""""""===>""""""Reeds"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""objects"" -> ""tags"" -> ""value""","""""""plant"""" """"objects"""" -> """"title""""""","""Reed (Only trace 2 complete examples, but create a carefully traced container)""","""""""Reeds"""" """"objects"""" -> """"tags"""" -> """"value""""""","""Reeds""",,Abbey List,
